key,value,handbook_section,notes
ms_total_credits_min,30,§3.2,
ms_regular_credits_min,24,§3.2,
ms_project_credits_min,6,§3.2,CSE 68901 / 68902
ms_4xxxx_credits_max,6,§3.2,CSE 4xxxx only (DGS decision 2026-08-31)
ms_noncse_credits_max,9,§3.2,
ms_bs_double_count_credits_max,6,§3.5,How much of an MSCSE student's coursework may also have counted toward their bachelor's degree — §3.5's two 40000-level courses or their 6xxxx equivalent (DGS 2026-09-10). The Ph.D. has no equivalent cap; its limit is that no course counts toward all three degrees.
ms_time_limit_years,5,§3.3,
ms_thesis_readers_min,2,§3.4,thesis option only
ms_transfer_completed_ms_credits_max,9,§5.2,completed prior M.S./Ph.D.
phd_total_credits_min,60,§4.2,
phd_regular_credits_min,24,§4.2,60000-level or higher
phd_nd_credits_min,9,§4.2,at least nine credits at Notre Dame
phd_seminar_courses,"CSE 63801, CSE 63802",§4.2,required in year one
phd_4xxxx_cse_credits_max,6,§4.2,
phd_noncse_6xxxx_credits_max,9,§4.2,
ms_transfer_window_years,5,§3.2,prior M.S. coursework (the §5.2 five-year window applies to the MSCSE too — DGS 2026-09-11)
phd_transfer_window_years,5,§4.2,prior M.S. coursework
phd_transfer_completed_ms_credits_max,24,§5.2,completed prior M.S./Ph.D.
phd_residency_semesters,4,§4.3,"consecutive, full-time, excluding summer"
phd_time_limit_years,8,§4.3,
transfer_unfinished_ms_credits_max,6,§5.2,unfinished prior M.S.
transfer_min_grade,B,§5.2,
fulltime_credits_min,9,§2.1.2,
qualifier_deadline_semesters,4,§4.4,DGS may extend
category_courses_required,3,§4.4.2,
category_distinct_groups_required,3,§4.4.2,
category_min_grade,B,§4.4.2,
research_qualifier_deadline_months,18,§4.4.3,
candidacy_deadline_semester,8,§4.5,before the end of the eighth semester
candidacy_committee_additional_members_min,3,§4.5,beyond advisor/co-advisor
gpa_min,3,§2.2,
cse_subject_codes,CS; CSCI; COMPSCI; CSE; CMSC; EECS; CSYE,§4.2,Subject codes on ANOTHER university's transcript that mean a CSE course. Anything else counts against the nine-credit non-CSE allowance; an ExternalCourses is_cse cell overrides this list for one course.
Every number the handbook states lives here so a future DGS can change it without touching code. Add rows freely; keep the key names stable because the app reads them by name.,,,
rules_effective_date,2026-09-01,,OPTIONAL override — leave this row out and both pages date the rules automatically (see data/README.md); add it only to show a different date
current_semester,FA26,,"OPTIONAL. The semester this whole sheet is current for, as the code the pages print (FA26 / SP27; fall or spring only). The course-rules page reads offered_now / offered_next against it, so it is REQUIRED before the schedule cards show anything — and when you move it forward, check those two columns, or an old schedule is republished under a new semester's name"
